"LC1.agr","LC2.for","LC3.gr","LC4.wgr","LC5.wetl","LC6.riv","LC7.bu","LC8.barr","LC9.CN","LC10.man","LC11.fl","W1.ws","W2.tmin","W3.tmax","W4.pcp","W5.rh","O.obs","P.bd1","P.br1","P.cl1","P.sa1","P.si1","P.dem1","P.sl1","P.bd2","P.br2","P.cl2","P.sa2","P.si2","P.dem2","P.sl2","P.bd3","P.br3","P.cl3","P.sa3","P.si3","P.dem3","P.sl3","P.bd4","P.br4","P.cl4","P.sa4","P.si4","P.dem4","P.sl4","P.bd5","P.br5","P.cl5","P.sa5","P.si5","P.dem5","P.sl5","date","W6.pcpw","W7.pcpm","W8.pcpmx","C.area","C.basin","C.size","C.clim","C.mo"
10532.849076943,155585.57792938,2080.42569509,0,65.07,1266.2730508,60.43405184,0,61.6510654073248,0.562648487873489,0,4,20.4,25.4,166.3,95.44,143.6," 7471","27440"," 2578"," 3502"," 2500",0," 2258","15114"," 5828"," 8450","15628"," 9590","  388"," 5864"," 9154","  658","13582","10837","10791"," 4747"," 9760"," 2028","    3"," 7939"," 3735"," 8154","12946","10679","  162",0," 1380","  227"," 2894","15848"," 5368",2000-01-11,51.3571428571429,39.3516129032258,166.3,169598.610000159,4,"large",3,1
10532.849076943,155585.57792938,2080.42569509,0,65.07,1266.2730508,60.43405184,0,61.6510654073248,0.562648487873489,0,4,18.8,27.4,16,95.43,139.4," 7471","27440"," 2578"," 3502"," 2500",0," 2258","15114"," 5828"," 8450","15628"," 9590","  388"," 5864"," 9154","  658","13582","10837","10791"," 4747"," 9760"," 2028","    3"," 7939"," 3735"," 8154","12946","10679","  162",0," 1380","  227"," 2894","15848"," 5368",2000-01-12,51.3571428571429,39.3516129032258,166.3,169598.610000159,4,"large",3,1
10532.849076943,155585.57792938,2080.42569509,0,65.07,1266.2730508,60.43405184,0,61.6510654073248,0.562648487873489,0,4,21.4,24.4,89.6,95.42,135.2," 7471","27440"," 2578"," 3502"," 2500",0," 2258","15114"," 5828"," 8450","15628"," 9590","  388"," 5864"," 9154","  658","13582","10837","10791"," 4747"," 9760"," 2028","    3"," 7939"," 3735"," 8154","12946","10679","  162",0," 1380","  227"," 2894","15848"," 5368",2000-01-13,51.3571428571429,39.3516129032258,166.3,169598.610000159,4,"large",3,1
10532.849076943,155585.57792938,2080.42569509,0,65.07,1266.2730508,60.43405184,0,61.6510654073248,0.562648487873489,0,3,21,28.6,71,95.42,131," 7471","27440"," 2578"," 3502"," 2500",0," 2258","15114"," 5828"," 8450","15628"," 9590","  388"," 5864"," 9154","  658","13582","10837","10791"," 4747"," 9760"," 2028","    3"," 7939"," 3735"," 8154","12946","10679","  162",0," 1380","  227"," 2894","15848"," 5368",2000-01-14,51.3571428571429,39.3516129032258,166.3,169598.610000159,4,"large",3,1
10532.849076943,155585.57792938,2080.42569509,0,65.07,1266.2730508,60.43405184,0,61.6510654073248,0.562648487873489,0,1,19.2,25.4,1,95.42,129," 7471","27440"," 2578"," 3502"," 2500",0," 2258","15114"," 5828"," 8450","15628"," 9590","  388"," 5864"," 9154","  658","13582","10837","10791"," 4747"," 9760"," 2028","    3"," 7939"," 3735"," 8154","12946","10679","  162",0," 1380","  227"," 2894","15848"," 5368",2000-01-15,51.3571428571429,39.3516129032258,166.3,169598.610000159,4,"large",3,1
10532.849076943,155585.57792938,2080.42569509,0,65.07,1266.2730508,60.43405184,0,61.6510654073248,0.562648487873489,0,5,19,26,8.2,95.37,131," 7471","27440"," 2578"," 3502"," 2500",0," 2258","15114"," 5828"," 8450","15628"," 9590","  388"," 5864"," 9154","  658","13582","10837","10791"," 4747"," 9760"," 2028","    3"," 7939"," 3735"," 8154","12946","10679","  162",0," 1380","  227"," 2894","15848"," 5368",2000-01-16,11.9285714285714,39.3516129032258,33.6,169598.610000159,4,"large",3,1
10532.849076943,155585.57792938,2080.42569509,0,65.07,1266.2730508,60.43405184,0,61.6510654073248,0.562648487873489,0,4,19.6,23.6,6.8,95.37,131," 7471","27440"," 2578"," 3502"," 2500",0," 2258","15114"," 5828"," 8450","15628"," 9590","  388"," 5864"," 9154","  658","13582","10837","10791"," 4747"," 9760"," 2028","    3"," 7939"," 3735"," 8154","12946","10679","  162",0," 1380","  227"," 2894","15848"," 5368",2000-01-17,11.9285714285714,39.3516129032258,33.6,169598.610000159,4,"large",3,1
10532.849076943,155585.57792938,2080.42569509,0,65.07,1266.2730508,60.43405184,0,61.6510654073248,0.562648487873489,0,2,18.6,26.4,6.4,95.37,131," 7471","27440"," 2578"," 3502"," 2500",0," 2258","15114"," 5828"," 8450","15628"," 9590","  388"," 5864"," 9154","  658","13582","10837","10791"," 4747"," 9760"," 2028","    3"," 7939"," 3735"," 8154","12946","10679","  162",0," 1380","  227"," 2894","15848"," 5368",2000-01-18,11.9285714285714,39.3516129032258,33.6,169598.610000159,4,"large",3,1
10532.849076943,155585.57792938,2080.42569509,0,65.07,1266.2730508,60.43405184,0,61.6510654073248,0.562648487873489,0,1,19,27.4,22.7,95.27,127," 7471","27440"," 2578"," 3502"," 2500",0," 2258","15114"," 5828"," 8450","15628"," 9590","  388"," 5864"," 9154","  658","13582","10837","10791"," 4747"," 9760"," 2028","    3"," 7939"," 3735"," 8154","12946","10679","  162",0," 1380","  227"," 2894","15848"," 5368",2000-01-19,11.9285714285714,39.3516129032258,33.6,169598.610000159,4,"large",3,1
10532.849076943,155585.57792938,2080.42569509,0,65.07,1266.2730508,60.43405184,0,61.6510654073248,0.562648487873489,0,1,24.6,31.4,33.6,95.16,125," 7471","27440"," 2578"," 3502"," 2500",0," 2258","15114"," 5828"," 8450","15628"," 9590","  388"," 5864"," 9154","  658","13582","10837","10791"," 4747"," 9760"," 2028","    3"," 7939"," 3735"," 8154","12946","10679","  162",0," 1380","  227"," 2894","15848"," 5368",2000-01-20,11.9285714285714,39.3516129032258,33.6,169598.610000159,4,"large",3,1
